City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
5,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Rikitea,PF,77.59,moderate rain,-23.1203,-134.9692,People ThankYou
15,Sao Joao Da Barra,BR,73.38,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
19,Matara,LK,79.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
23,Mackay,AU,74.68,overcast clouds,-21.15,149.2,International Lodge Motel
25,Karratha,AU,74.7,clear sky,-20.7377,116.8463,ibis Styles Karratha
26,Lompoc,US,78.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Suleja,NG,74.82,overcast clouds,9.1758,7.1808,Capy Motel
39,Kutum,SD,76.82,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
44,Poum,NC,77.0,clear sky,-20.2333,164.0167,
46,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
51,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
52,Bafq,IR,75.72,broken clouds,31.6128,55.4107,Alamdar Hotel
55,Omboue,GA,78.03,moderate rain,-1.5746,9.2618,Hotel Olako
64,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
72,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
73,Kasongo-Lunda,CD,75.02,overcast clouds,-6.4667,16.8167,
79,Saint-Pierre,RE,73.9,few clouds,-21.3393,55.4781,Alize Plage
81,Carutapera,BR,77.5,broken clouds,-1.195,-46.02,Lidera
85,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
90,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
101,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
102,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Kefamenanu,ID,72.55,broken clouds,-9.4467,124.4781,Sokowindo Losmen
127,Antsohihy,MG,72.39,clear sky,-14.8796,47.9875,Hotel de Ville
128,Butte,US,76.3,broken clouds,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
142,Castillo,DO,79.7,scattered clouds,19.2082,-70.0273,Castillo nuevo castllo
143,Guasdualito,VE,78.76,broken clouds,7.2424,-70.7324,Hotel Cuibas
148,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
150,Cururupu,BR,76.28,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
154,Namibe,AO,75.6,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
155,Dingle,PH,78.71,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
162,Sorong,ID,78.94,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
163,Panguna,PG,75.81,few clouds,-6.3164,155.4848,
166,Puerto Leguizamo,CO,76.3,broken clouds,-0.1934,-74.7819,la casona de juancho
168,Umm Kaddadah,SD,79.25,overcast clouds,13.6017,26.6876,
171,Pasighat,IN,71.49,few clouds,28.0667,95.3333,Siang Guest House
172,Pedra Branca,BR,75.34,overcast clouds,-5.4542,-39.7172,Chácara Verçoza
181,Jiwani,PK,79.88,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
183,Nizwa,OM,78.48,clear sky,22.9333,57.5333,Orient Apartments
193,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
195,Ambilobe,MG,71.28,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
199,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
204,Howard Springs,AU,75.87,broken clouds,-12.497,131.047,buffalo beach hostel
210,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
211,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
213,Saint Anthony,US,72.84,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
216,Qingyuan,CN,75.18,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
222,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,HOTEL IMAN
227,Zhuhai,CN,76.86,light rain,22.2769,113.5678,珠海粤财假日酒店
233,Bumba,CD,72.95,overcast clouds,2.1833,22.4667,Père Carlos
234,Piacabucu,BR,77.41,few clouds,-10.4056,-36.4344,Piaçabuçu News
236,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
242,Avera,US,77.05,broken clouds,33.194,-82.5271,
246,Padang,ID,76.6,overcast clouds,-0.9492,100.3543,Mercure Padang
247,Sinnamary,GF,76.35,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
251,Huarmey,PE,70.16,clear sky,-10.0681,-78.1522,Hotel Miramar
253,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
255,Half Moon Bay,US,76.78,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
259,Mathbaria,BD,78.98,clear sky,22.2876,89.9593,Shikdar Hotel
260,Baculin,PH,78.91,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
268,Mbandaka,CD,71.6,overcast clouds,0.0487,18.2603,Guest House Epervier
270,Dehra Dun,IN,72.9,clear sky,30.3167,78.0333,Hotel Doon Castle
274,Wajir,KE,77.34,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
281,La Macarena,CO,79.99,broken clouds,2.1837,-73.7849,Hotel Punto Verde
284,Raga,SS,79.75,overcast clouds,8.4596,25.678,
289,Tabuk,PH,74.34,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
298,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
301,Bondo,CD,70.25,light rain,3.8146,23.6866,
313,Juba,SS,78.12,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
316,Laguna,US,78.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
318,Inhambane,MZ,70.25,clear sky,-23.865,35.3833,Oceano
321,Kashan,IR,78.39,clear sky,33.9831,51.4364,Manouchehri Traditional House
324,Mont-Dore,NC,78.01,scattered clouds,-22.2833,166.5833,GIte
327,Wang Saphung,TH,76.1,overcast clouds,17.301,101.7685,โรงแรมวังรีสอร์ท
330,Katobu,ID,75.56,scattered clouds,-4.9408,122.5276,La Ode Husein
335,Pathein,MM,79.79,overcast clouds,16.7833,94.7333,Pathein Hotel
337,Koumac,NC,76.91,clear sky,-20.5667,164.2833,Le Monitel
341,Mossendjo,CG,70.77,moderate rain,-2.9506,12.7261,HOTEL D'ASSISE
342,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
352,Iaciara,BR,79.03,broken clouds,-14.0958,-46.6317,Hotel Matinha
354,Vilhena,BR,79.02,clear sky,-12.7406,-60.1458,Hotel Mirage
356,Angoche,MZ,73.26,clear sky,-16.2325,39.9086,Guest House HESADA
359,Biak,ID,76.51,scattered clouds,-0.9131,122.8766,Penginapan Kim
367,Lobito,AO,77.74,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
368,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
375,Tambura,SS,71.06,overcast clouds,5.6,27.4667,Rikito Lodge
382,Mucuri,BR,76.08,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
385,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
386,Labuhan,ID,78.22,broken clouds,-6.8844,112.2051,DoubleFAG
388,Axim,GH,75.29,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
390,Zanzibar,TZ,74.98,moderate rain,-6.1639,39.1979,Tembo House Hotel
393,Mayumba,GA,78.49,overcast clouds,-3.432,10.6554,LIKWALE LODGE
395,Muborak,UZ,78.13,broken clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
400,Great Bend,US,77.61,clear sky,38.3645,-98.7648,Best Western Angus Inn
402,Pontes E Lacerda,BR,70.65,clear sky,-15.2261,-59.3353,Hotel Bressan
405,Guerrero Negro,MX,70.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
408,Chippewa Falls,US,72.37,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
409,Jurado,CO,76.59,overcast clouds,7.1053,-77.7641,
413,Guarapari,BR,73.63,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
423,Virginia Beach,US,72.01,thunderstorm,36.8529,-75.978,Hilton Virginia Beach Oceanfront
429,Sal Rei,CV,70.9,few clouds,16.1833,-22.9167,Marine Club Beach Resort
432,Cabedelo,BR,79.47,light rain,-6.9811,-34.8339,Hotel Pigalle
436,Soyo,AO,77.63,light rain,-6.1349,12.3689,Hotel Mpampa
438,Najran,SA,77.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
440,Kabalo,CD,70.21,light rain,-6.05,26.9167,
442,Price,US,78.12,clear sky,39.5994,-110.8107,National 9 - Price River Inn
451,Sao Filipe,CV,73.72,clear sky,14.8961,-24.4956,Hotel Xaguate
454,San Joaquin,US,79.54,broken clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
455,Tura,IN,70.59,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
461,Hargeysa,SO,74.34,few clouds,9.56,44.065,City Center Hotel
480,Urucara,BR,75.45,moderate rain,-2.5364,-57.76,Pousada Maria Bonita
486,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
487,Feijo,BR,77.27,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
488,Nuevitas,CU,78.85,scattered clouds,21.5453,-77.2644,Hotel Caonaba
494,Upata,VE,74.41,overcast clouds,8.0086,-62.3989,Posada Villa Nela
495,Porto Novo,BJ,75.04,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
502,Chaman,PK,72.59,clear sky,30.9236,66.4512,Niamat parda Center chaman
504,Sinazongwe,ZM,74.8,overcast clouds,-17.2614,27.4618,Lakeview Lodge
509,Luanda,AO,76.98,clear sky,-8.8368,13.2343,EPIC SANA Luanda
511,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
513,Demba,CD,72.91,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
516,Rock Hill,US,78.98,broken clouds,34.9249,-81.0251,DDCSVC
517,Fernley,US,76.75,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
520,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
522,Caravelas,BR,75.25,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
523,Oliveira Dos Brejinhos,BR,79.84,broken clouds,-12.3169,-42.8961,Hotel Paraiso
524,Buin,CL,75.52,clear sky,-33.7333,-70.75,Paihuen
525,Tamandare,BR,78.4,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
530,Margherita,IN,71.22,clear sky,27.2833,95.6833,Dehing Guest House
531,Saint-Paul,RE,73.49,scattered clouds,-21.0096,55.2707,Boucan Canot
540,Isangel,VU,78.6,broken clouds,-19.55,169.2667,Tanna Lodge
547,Bismarck,US,75.65,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
548,Sechura,PE,72.84,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
551,Tuy Hoa,VN,76.55,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
562,Pacific Grove,US,74.44,broken clouds,36.6177,-121.9166,Lovers Point Inn
564,Booue,GA,74.35,light rain,-0.0921,11.9385,Splendeur de l'équateur
568,Gudari,IN,78.46,few clouds,19.35,83.7833,Hotel maa majhigouri
570,Ormara,PK,79.93,clear sky,25.2088,64.6357,Kenara Colony house for Rent
581,Lusambo,CD,72.93,overcast clouds,-4.9667,23.45,
586,Benguela,AO,77.05,broken clouds,-12.5763,13.4055,Hotel Praia Morena
590,Tezu,IN,72.25,clear sky,27.9167,96.1667,Circuit House
595,Novo Aripuana,BR,76.24,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
601,Santa Fe,AR,70.0,light rain,-31.6333,-60.7,Conquistador Hotel
604,Rongcheng,CN,70.5,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
605,Mecca,SA,75.29,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
616,Dumka,IN,79.95,clear sky,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
621,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,Hotel Kununurra
625,Foso,GH,71.87,overcast clouds,5.7012,-1.2866,Pristina Cottage
637,Diamantino,BR,71.64,clear sky,-14.4086,-56.4461,Hotel Delta
638,Itarema,BR,76.39,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
640,Ajuterique,HN,77.16,broken clouds,14.3833,-87.7,M&M Zavala Hotel and B&B
643,Sao Felix Do Xingu,BR,75.2,broken clouds,-6.6447,-51.995,Rio Xingu Camping
646,Ampanihy,MG,71.53,few clouds,-24.7,44.75,Angora Hotel
653,Palasa,IN,79.74,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
656,Teacapan,MX,79.86,clear sky,22.55,-105.75,Hotel los Mangos
