City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
0,Ushuaia,AR,2022-05-06 22:08:23,-54.8,-68.3,42.46,65,40,20.71,scattered clouds
1,Punta Arenas,CL,2022-05-06 22:09:38,-53.15,-70.9167,44.71,81,100,9.22,light rain
2,New Norfolk,AU,2022-05-06 22:12:05,-42.7826,147.0587,49.66,77,100,1.99,light rain
3,Longyearbyen,SJ,2022-05-06 22:12:06,78.2186,15.6401,26.44,68,75,5.75,broken clouds
4,Houma,US,2022-05-06 22:09:04,29.5958,-90.7195,89.01,71,1,12.35,clear sky
5,Arraial Do Cabo,BR,2022-05-06 22:12:07,-22.9661,-42.0278,73.26,73,0,16.11,clear sky
6,Cherskiy,RU,2022-05-06 22:12:08,68.75,161.3,32.45,100,100,3.91,light snow
7,Bengkulu,ID,2022-05-06 22:09:40,-3.8004,102.2655,76.03,89,100,6.22,overcast clouds
8,Cape Town,ZA,2022-05-06 22:08:09,-33.9258,18.4232,57.34,89,86,13.0,overcast clouds
9,Busselton,AU,2022-05-06 22:09:37,-33.65,115.3333,55.04,60,0,7.52,clear sky
10,Lebu,CL,2022-05-06 22:12:09,-37.6167,-73.65,53.78,92,69,9.19,broken clouds
11,Viedma,AR,2022-05-06 22:12:10,-40.8135,-62.9967,61.61,50,83,9.01,broken clouds
12,Nanortalik,GL,2022-05-06 22:12:10,60.1432,-45.2371,34.09,98,100,2.91,overcast clouds
13,Rikitea,PF,2022-05-06 22:09:39,-23.1203,-134.9692,77.59,84,84,16.17,moderate rain
14,Kavieng,PG,2022-05-06 22:08:16,-2.5744,150.7967,84.4,74,100,15.84,overcast clouds
15,Sao Joao Da Barra,BR,2022-05-06 22:09:33,-21.6403,-41.0511,73.38,71,29,15.7,scattered clouds
16,Hamilton,US,2022-05-06 22:12:11,39.1834,-84.5333,66.97,93,100,6.91,light rain
17,Aklavik,CA,2022-05-06 22:12:12,68.2191,-135.0107,31.01,83,100,0.6,overcast clouds
18,Hermanus,ZA,2022-05-06 22:10:12,-34.4187,19.2345,55.8,87,100,9.15,moderate rain
19,Matara,LK,2022-05-06 22:12:13,5.9485,80.5353,79.54,90,100,8.46,overcast clouds
20,Bluff,NZ,2022-05-06 22:12:13,-46.6,168.3333,54.81,84,99,9.53,light rain
21,Bolondron,CU,2022-05-06 22:12:14,22.7633,-81.4469,84.4,49,55,3.31,moderate rain
22,Krasnoselkup,RU,2022-05-06 22:12:15,65.7,82.4667,21.94,85,100,23.96,overcast clouds
23,Mackay,AU,2022-05-06 22:12:15,-21.15,149.2,74.68,84,100,8.16,overcast clouds
24,Georgetown,MY,2022-05-06 22:08:26,5.4112,100.3354,82.33,89,20,0.0,few clouds
25,Karratha,AU,2022-05-06 22:12:16,-20.7377,116.8463,74.7,46,4,18.81,clear sky
26,Lompoc,US,2022-05-06 22:12:17,34.6391,-120.4579,78.69,66,0,32.01,clear sky
27,Upington,ZA,2022-05-06 22:12:19,-28.4478,21.2561,62.02,41,31,8.3,scattered clouds
28,Sur,OM,2022-05-06 22:12:21,22.5667,59.5289,82.26,66,0,10.16,clear sky
29,Mar Del Plata,AR,2022-05-06 22:09:27,-38.0023,-57.5575,59.88,90,52,2.3,fog
30,Joue-Les-Tours,FR,2022-05-06 22:12:21,47.3522,0.6691,57.54,72,0,2.3,clear sky
31,Riyadh,SA,2022-05-06 22:12:22,24.6877,46.7219,82.54,23,38,5.19,scattered clouds
32,Saskylakh,RU,2022-05-06 22:12:23,71.9167,114.0833,15.26,87,84,19.77,broken clouds
33,Puerto Ayora,EC,2022-05-06 22:08:09,-0.7393,-90.3518,76.96,82,88,8.57,overcast clouds
34,Yellowknife,CA,2022-05-06 22:09:33,62.456,-114.3525,48.07,70,100,14.9,overcast clouds
35,Khatanga,RU,2022-05-06 22:12:24,71.9667,102.5,11.93,89,100,21.07,overcast clouds
36,Ponta Do Sol,PT,2022-05-06 22:12:25,32.6667,-17.1,68.63,65,93,4.63,overcast clouds
37,Suleja,NG,2022-05-06 22:12:25,9.1758,7.1808,74.82,77,100,2.51,overcast clouds
38,Lagoa,PT,2022-05-06 22:12:26,39.05,-27.9833,60.37,74,3,5.79,clear sky
39,Kutum,SD,2022-05-06 22:12:27,14.2,24.6667,76.82,15,76,10.4,broken clouds
40,Mataura,NZ,2022-05-06 22:12:27,-46.1927,168.8643,54.48,76,97,3.42,overcast clouds
41,Pevek,RU,2022-05-06 22:12:27,69.7008,170.3133,30.34,84,100,0.78,overcast clouds
42,Lorengau,PG,2022-05-06 22:12:28,-2.0226,147.2712,84.02,77,86,9.57,overcast clouds
43,Kapaa,US,2022-05-06 22:09:34,22.0752,-159.319,82.38,81,75,17.27,broken clouds
44,Poum,NC,2022-05-06 22:11:05,-20.2333,164.0167,77.0,71,0,13.51,clear sky
45,Cidreira,BR,2022-05-06 22:13:29,-30.1811,-50.2056,63.37,67,50,2.89,scattered clouds
46,Limbang,MY,2022-05-06 22:13:29,4.75,115.0,78.91,97,100,2.04,overcast clouds
47,Broome,US,2022-05-06 22:13:30,42.2506,-75.833,57.15,78,100,8.05,overcast clouds
48,Hilo,US,2022-05-06 22:13:30,19.7297,-155.09,85.28,87,100,11.5,light rain
49,Albany,US,2022-05-06 22:07:21,42.6001,-73.9662,61.34,58,100,1.01,overcast clouds
50,Tahe,CN,2022-05-06 22:13:31,52.3333,124.7333,40.55,47,97,9.35,overcast clouds
51,Port Hedland,AU,2022-05-06 22:13:32,-20.3167,118.5667,71.65,46,0,10.36,clear sky
52,Bafq,IR,2022-05-06 22:13:32,31.6128,55.4107,75.72,26,69,7.78,broken clouds
53,Lakkion,GR,2022-05-06 22:13:33,37.1333,26.85,63.9,70,85,16.42,overcast clouds
54,Hithadhoo,MV,2022-05-06 22:13:33,-0.6,73.0833,83.8,75,78,15.3,broken clouds
55,Omboue,GA,2022-05-06 22:13:34,-1.5746,9.2618,78.03,91,100,5.44,moderate rain
56,Salalah,OM,2022-05-06 22:13:34,17.0151,54.0924,82.49,83,75,3.44,broken clouds
57,Nikolskoye,RU,2022-05-06 22:13:35,59.7035,30.7861,46.29,97,17,5.95,few clouds
58,Podosinovets,RU,2022-05-06 22:13:35,60.2776,47.0659,41.13,78,94,8.68,overcast clouds
59,Omsukchan,RU,2022-05-06 22:13:36,62.5333,155.8,26.67,87,96,3.47,overcast clouds
60,Dongying,CN,2022-05-06 22:13:37,37.4564,118.4856,53.08,68,82,10.98,broken clouds
61,Hlinsko,CZ,2022-05-06 22:13:37,49.7621,15.9076,53.08,96,100,3.62,light rain
62,Havoysund,NO,2022-05-06 22:13:38,70.9963,24.6622,39.43,86,100,7.92,light rain
63,Batagay-Alyta,RU,2022-05-06 22:13:38,67.8006,130.4114,19.8,75,72,5.46,broken clouds
64,Atuona,PF,2022-05-06 22:08:12,-9.8,-139.0333,78.91,73,15,14.36,few clouds
65,Baloda Bazar,IN,2022-05-06 22:13:39,21.6667,82.1667,84.49,23,0,7.25,clear sky
66,Kurilsk,RU,2022-05-06 22:13:40,45.2333,147.8833,50.2,76,84,12.82,broken clouds
67,Imeni Poliny Osipenko,RU,2022-05-06 22:12:23,52.4201,136.4853,32.5,97,79,3.67,broken clouds
68,Lavrentiya,RU,2022-05-06 22:13:40,65.5833,-171.0,22.17,82,48,5.39,scattered clouds
69,Salym,RU,2022-05-06 22:13:41,60.0625,71.4789,26.53,92,100,14.61,overcast clouds
70,East London,ZA,2022-05-06 22:09:13,-33.0153,27.9116,67.86,80,95,12.33,overcast clouds
71,Deputatskiy,RU,2022-05-06 22:13:42,69.3,139.9,19.76,93,100,2.98,overcast clouds
72,Bambous Virieux,MU,2022-05-06 22:09:36,-20.3428,57.7575,73.65,73,20,6.91,few clouds
73,Kasongo-Lunda,CD,2022-05-06 22:13:42,-6.4667,16.8167,75.02,78,99,1.48,overcast clouds
74,Klaksvik,FO,2022-05-06 22:13:43,62.2266,-6.589,40.12,62,80,12.8,broken clouds
75,Portland,US,2022-05-06 22:10:07,45.5234,-122.6762,59.58,90,100,11.5,overcast clouds
76,Torbay,CA,2022-05-06 22:13:44,47.6666,-52.7314,37.58,91,75,10.36,light intensity shower rain
77,Nalut,LY,2022-05-06 22:13:44,30.3333,10.85,66.4,48,0,12.68,clear sky
78,Kruisfontein,ZA,2022-05-06 22:13:45,-34.0033,24.7314,59.49,84,95,10.94,overcast clouds
79,Saint-Pierre,RE,2022-05-06 22:13:45,-21.3393,55.4781,73.9,78,20,4.61,few clouds
80,Barrow,US,2022-05-06 22:05:02,71.2906,-156.7887,19.42,93,100,13.8,overcast clouds
81,Carutapera,BR,2022-05-06 22:13:46,-1.195,-46.02,77.5,88,51,7.83,broken clouds
82,Morant Bay,JM,2022-05-06 22:13:47,17.8815,-76.4093,88.72,77,14,9.66,few clouds
83,Erzurum,TR,2022-05-06 22:13:47,40.0,41.5,40.68,84,100,4.54,overcast clouds
84,Praia Da Vitoria,PT,2022-05-06 22:09:19,38.7333,-27.0667,60.76,84,41,6.8,scattered clouds
85,Vila Velha,BR,2022-05-06 22:13:48,-20.3297,-40.2925,76.95,73,75,11.5,broken clouds
86,Chany,RU,2022-05-06 22:11:09,55.3121,76.7647,35.13,59,60,22.17,broken clouds
87,Tommot,RU,2022-05-06 22:14:48,58.9564,126.2925,30.74,89,75,4.36,broken clouds
88,Santos Dumont,BR,2022-05-06 22:14:49,-21.4567,-43.5525,58.84,94,47,4.76,scattered clouds
89,Castro,BR,2022-05-06 22:14:49,-24.7911,-50.0119,55.49,90,7,3.67,clear sky
90,Vaini,TO,2022-05-06 22:14:50,-21.2,-175.2,78.96,78,40,9.22,scattered clouds
91,Ponta Delgada,PT,2022-05-06 22:14:50,37.7333,-25.6667,68.5,88,75,10.36,broken clouds
92,Bermeo,ES,2022-05-06 22:14:51,43.4209,-2.7215,55.49,90,7,4.52,clear sky
93,Mizdah,LY,2022-05-06 22:14:51,31.4451,12.9801,62.92,47,0,2.95,clear sky
94,Kastamonu,TR,2022-05-06 22:14:52,41.5,33.6667,41.72,94,100,5.59,overcast clouds
95,Te Anau,NZ,2022-05-06 22:14:52,-45.4167,167.7167,57.38,85,97,4.76,light rain
96,Moron,AR,2022-05-06 22:14:53,-34.6534,-58.6198,67.98,81,0,3.71,clear sky
97,Grindavik,IS,2022-05-06 22:14:53,63.8424,-22.4338,41.47,81,75,13.8,broken clouds
98,Jardim,BR,2022-05-06 22:14:54,-21.4803,-56.1381,67.19,69,0,5.5,clear sky
99,Tuktoyaktuk,CA,2022-05-06 22:14:55,69.4541,-133.0374,31.46,96,100,6.8,overcast clouds
100,Springdale,US,2022-05-06 22:10:04,36.1867,-94.1288,65.03,85,100,9.22,overcast clouds
101,Boa Vista,BR,2022-05-06 22:14:56,2.8197,-60.6733,78.78,89,75,4.61,broken clouds
102,Mahebourg,MU,2022-05-06 22:14:56,-20.4081,57.7,73.69,73,20,6.91,few clouds
103,Gisborne,NZ,2022-05-06 22:14:57,-38.6533,178.0042,58.53,77,13,4.65,few clouds
104,Gornopravdinsk,RU,2022-05-06 22:14:57,60.05,69.9,26.13,89,100,12.68,overcast clouds
105,Port Alfred,ZA,2022-05-06 22:14:58,-33.5906,26.891,65.17,85,99,1.01,overcast clouds
106,Mahon,ES,2022-05-06 22:14:58,39.8885,4.2658,64.96,55,0,10.36,clear sky
107,Hailey,US,2022-05-06 22:14:54,43.5196,-114.3153,59.0,51,75,19.57,broken clouds
108,Kaitangata,NZ,2022-05-06 22:14:59,-46.2817,169.8464,56.1,74,84,4.16,broken clouds
109,Luderitz,NA,2022-05-06 22:14:59,-26.6481,15.1594,57.42,84,2,12.95,clear sky
110,Geraldton,AU,2022-05-06 22:15:00,-28.7667,114.6,57.61,51,0,13.8,clear sky
111,Arlit,NE,2022-05-06 22:15:00,18.7369,7.3853,96.46,11,100,15.17,overcast clouds
112,Pisco,PE,2022-05-06 22:15:01,-13.7,-76.2167,69.85,73,0,14.97,clear sky
113,Chokurdakh,RU,2022-05-06 22:15:01,70.6333,147.9167,20.98,92,100,3.47,overcast clouds
114,Andenes,NO,2022-05-06 22:15:02,69.3143,16.1194,40.98,87,100,19.57,overcast clouds
115,Poddorye,RU,2022-05-06 22:15:02,57.4695,31.1156,47.14,83,88,4.83,overcast clouds
116,Clyde River,CA,2022-05-06 22:14:11,70.4692,-68.5914,23.76,89,56,6.15,broken clouds
117,Union,US,2022-05-06 22:15:03,40.6334,-74.2663,54.1,91,100,10.36,moderate rain
118,Shanhetun,CN,2022-05-06 22:15:04,44.7,127.2,43.39,64,78,7.65,broken clouds
119,Hasaki,JP,2022-05-06 22:15:04,35.7333,140.8333,63.28,83,100,14.0,overcast clouds
120,Kefamenanu,ID,2022-05-06 22:15:05,-9.4467,124.4781,72.55,92,80,3.51,broken clouds
121,Upernavik,GL,2022-05-06 22:15:05,72.7868,-56.1549,13.24,83,0,6.8,clear sky
122,Nagato,JP,2022-05-06 22:15:06,34.3833,131.2,64.2,84,38,6.82,scattered clouds
123,Porto Belo,BR,2022-05-06 22:15:06,-27.1578,-48.5531,69.75,73,26,8.66,scattered clouds
124,Nagapattinam,IN,2022-05-06 22:15:07,10.7667,79.8333,83.91,78,50,4.43,scattered clouds
125,Margate,GB,2022-05-06 22:12:58,51.3813,1.3862,59.88,74,100,7.0,overcast clouds
126,Troyes,FR,2022-05-06 22:15:07,48.3333,4.0833,56.17,81,0,8.05,clear sky
127,Antsohihy,MG,2022-05-06 22:15:08,-14.8796,47.9875,72.39,86,5,1.77,clear sky
128,Butte,US,2022-05-06 22:15:08,39.6499,-121.5677,76.3,51,75,12.66,broken clouds
129,Tasiilaq,GL,2022-05-06 22:15:12,65.6145,-37.6368,26.76,67,8,4.09,clear sky
130,Ouadda,CF,2022-05-06 22:16:12,8.0777,22.4007,69.48,85,100,3.67,overcast clouds
131,Talaya,RU,2022-05-06 22:12:26,61.3833,152.75,23.2,84,100,3.24,overcast clouds
132,Hofn,IS,2022-05-06 22:16:13,64.2539,-15.2082,38.32,54,8,15.77,clear sky
133,Tiksi,RU,2022-05-06 22:16:14,71.6872,128.8694,19.2,87,100,22.24,overcast clouds
134,Jamestown,US,2022-05-06 22:08:52,42.097,-79.2353,58.59,82,100,16.11,overcast clouds
135,Hobart,AU,2022-05-06 22:14:15,-42.8794,147.3294,50.02,86,75,9.22,broken clouds
136,Dothan,US,2022-05-06 22:14:29,31.2232,-85.3905,84.4,69,0,18.41,clear sky
137,Port Elizabeth,ZA,2022-05-06 22:16:15,-33.918,25.5701,62.31,84,0,8.05,clear sky
138,San Vicente,AR,2022-05-06 22:16:15,-26.6167,-54.1333,54.93,85,3,3.2,clear sky
139,Boleslawiec,PL,2022-05-06 22:16:16,51.2642,15.5697,54.82,80,95,1.61,overcast clouds
140,Slavicin,CZ,2022-05-06 22:16:16,49.088,17.8735,55.13,93,100,3.27,overcast clouds
141,Santa Cruz,BO,2022-05-06 22:15:02,-17.8,-63.1667,67.75,47,0,1.45,clear sky
142,Castillo,DO,2022-05-06 22:16:17,19.2082,-70.0273,79.7,91,49,3.22,scattered clouds
143,Guasdualito,VE,2022-05-06 22:16:17,7.2424,-70.7324,78.76,89,75,3.44,broken clouds
144,Novaya Igirma,RU,2022-05-06 22:16:18,57.1334,103.9112,36.61,68,37,4.12,scattered clouds
145,San Martin,AR,2022-05-06 22:16:18,-33.081,-68.4681,68.54,33,0,6.98,clear sky
146,Komsomolskiy,UZ,2022-05-06 22:16:19,40.4272,71.7189,63.32,63,43,9.22,scattered clouds
147,Natchitoches,US,2022-05-06 22:22:05,31.7668,-93.1335,83.25,50,0,8.05,clear sky
148,Ambon,ID,2022-05-06 22:22:06,-3.6954,128.1814,77.14,94,20,3.44,few clouds
149,Nargana,PA,2022-05-06 22:22:06,9.4428,-78.5906,81.86,76,93,11.95,overcast clouds
150,Cururupu,BR,2022-05-06 22:22:07,-1.8283,-44.8683,76.28,90,76,4.0,broken clouds
151,Korla,CN,2022-05-06 22:22:07,41.7597,86.1469,68.97,42,25,10.16,scattered clouds
152,Shubarkuduk,KZ,2022-05-06 22:22:08,49.1447,56.4872,45.63,49,100,16.96,overcast clouds
153,Arona,ES,2022-05-06 22:19:46,28.0996,-16.681,61.83,79,0,6.91,clear sky
154,Namibe,AO,2022-05-06 22:22:08,-15.1961,12.1522,75.6,65,0,3.69,clear sky
155,Dingle,PH,2022-05-06 22:22:09,10.9995,122.6711,78.71,87,33,7.29,scattered clouds
156,Miajadas,ES,2022-05-06 22:22:09,39.1513,-5.9084,63.25,48,72,3.38,broken clouds
157,Bredasdorp,ZA,2022-05-06 22:20:11,-34.5322,20.0403,56.16,90,100,3.15,light rain
158,Antofagasta,CL,2022-05-06 22:21:07,-23.65,-70.4,61.88,84,92,6.11,overcast clouds
159,Richards Bay,ZA,2022-05-06 22:22:10,-28.783,32.0377,65.14,91,0,5.84,clear sky
160,Codrington,AU,2022-05-06 22:18:29,-38.2667,141.9667,49.6,93,75,9.04,broken clouds
161,Port Blair,IN,2022-05-06 22:22:11,11.6667,92.75,81.68,82,99,10.98,overcast clouds
162,Sorong,ID,2022-05-06 22:22:11,-0.8833,131.25,78.94,87,94,5.99,overcast clouds
163,Panguna,PG,2022-05-06 22:22:12,-6.3164,155.4848,75.81,82,18,3.15,few clouds
164,Waddan,LY,2022-05-06 22:22:12,29.1614,16.139,68.59,56,100,19.08,overcast clouds
165,Dikson,RU,2022-05-06 22:18:32,73.5069,80.5464,18.34,95,100,12.95,light snow
166,Puerto Leguizamo,CO,2022-05-06 22:22:13,-0.1934,-74.7819,76.3,95,73,3.65,broken clouds
167,Saldanha,ZA,2022-05-06 22:22:14,-33.0117,17.9442,55.45,88,44,16.46,scattered clouds
168,Umm Kaddadah,SD,2022-05-06 22:22:14,13.6017,26.6876,79.25,14,91,11.39,overcast clouds
169,Ribeira Grande,PT,2022-05-06 22:21:49,38.5167,-28.7,61.61,66,22,5.84,few clouds
170,Kandrian,PG,2022-05-06 22:22:15,-6.2167,149.55,81.21,84,57,4.56,broken clouds
171,Pasighat,IN,2022-05-06 22:22:15,28.0667,95.3333,71.49,75,12,4.25,few clouds
172,Pedra Branca,BR,2022-05-06 22:22:16,-5.4542,-39.7172,75.34,70,93,2.37,overcast clouds
173,Saint-Augustin,CA,2022-05-06 22:22:16,51.226,-58.6502,37.11,54,100,14.83,overcast clouds
174,Sept-Iles,CA,2022-05-06 22:22:17,50.2001,-66.3821,41.43,47,75,8.05,broken clouds
175,Ancud,CL,2022-05-06 22:22:17,-41.8697,-73.8203,52.27,92,100,9.4,overcast clouds
176,Tuatapere,NZ,2022-05-06 22:22:18,-46.1333,167.6833,58.95,83,100,6.44,overcast clouds
177,Araouane,ML,2022-05-06 22:22:18,18.9048,-3.5265,92.71,15,10,8.59,clear sky
178,Esperance,AU,2022-05-06 22:22:19,-33.8667,121.9,53.2,82,0,12.24,clear sky
179,Laem Sing,TH,2022-05-06 22:22:19,12.4816,102.0738,81.05,100,100,5.66,overcast clouds
180,Sistranda,NO,2022-05-06 22:22:20,63.7256,8.834,44.56,79,80,27.85,broken clouds
181,Jiwani,PK,2022-05-06 22:22:20,25.05,61.7417,79.88,81,0,5.95,clear sky
182,Paita,PE,2022-05-06 22:22:21,-5.0892,-81.1144,69.15,78,26,14.85,scattered clouds
183,Nizwa,OM,2022-05-06 22:22:21,22.9333,57.5333,78.48,55,0,2.35,clear sky
184,Bethel,US,2022-05-06 22:18:48,41.3712,-73.414,56.44,87,100,3.44,light rain
185,Nombre De Dios,MX,2022-05-06 22:22:22,23.85,-104.2333,92.75,8,14,16.73,few clouds
186,San Jose,US,2022-05-06 22:22:02,37.3394,-121.895,80.85,56,40,20.71,scattered clouds
187,Lebanon,US,2022-05-06 22:22:23,36.2081,-86.2911,69.17,87,100,12.66,mist
188,Comodoro Rivadavia,AR,2022-05-06 22:22:23,-45.8667,-67.5,53.46,66,0,4.61,clear sky
189,Saint George,US,2022-05-06 22:22:24,37.1041,-113.5841,95.63,9,0,9.22,clear sky
190,Turukhansk,RU,2022-05-06 22:22:24,65.8167,87.9833,23.65,95,100,17.05,snow
191,Asfi,MA,2022-05-06 22:22:25,32.2994,-9.2372,66.9,66,73,17.22,broken clouds
192,Lasa,IT,2022-05-06 22:22:25,46.6166,10.7002,54.48,98,99,3.42,overcast clouds
193,Souillac,MU,2022-05-06 22:22:26,-20.5167,57.5167,73.78,73,20,6.91,few clouds
194,Cabo San Lucas,MX,2022-05-06 22:19:21,22.8909,-109.9124,83.61,56,0,10.36,clear sky
195,Ambilobe,MG,2022-05-06 22:22:19,-13.2,49.05,71.28,86,0,3.62,clear sky
196,Sorland,NO,2022-05-06 22:23:27,67.667,12.6934,41.68,79,36,45.03,scattered clouds
197,Luganville,VU,2022-05-06 22:23:27,-15.5333,167.1667,81.64,69,32,9.26,scattered clouds
198,Ngunguru,NZ,2022-05-06 22:23:28,-35.6167,174.5,64.71,72,25,6.67,scattered clouds
199,Victoria,HK,2022-05-06 22:19:29,22.2855,114.1577,78.19,84,100,4.0,overcast clouds
200,Iqaluit,CA,2022-05-06 22:23:28,63.7506,-68.5145,19.13,73,75,15.01,broken clouds
201,Provideniya,RU,2022-05-06 22:23:29,64.3833,-173.3,33.93,70,12,7.74,few clouds
202,Gigmoto,PH,2022-05-06 22:23:29,13.7796,124.39,80.96,84,29,9.42,scattered clouds
203,Rawson,AR,2022-05-06 22:23:30,-43.3002,-65.1023,62.33,53,86,18.14,overcast clouds
204,Howard Springs,AU,2022-05-06 22:23:30,-12.497,131.047,75.87,74,59,10.38,broken clouds
205,Jacmel,HT,2022-05-06 22:23:31,18.2342,-72.5347,85.84,75,5,6.42,clear sky
206,Olafsvik,IS,2022-05-06 22:23:31,64.8945,-23.7142,40.6,75,96,20.85,overcast clouds
207,Lulea,SE,2022-05-06 22:23:32,65.5842,22.1547,41.07,75,20,9.22,few clouds
208,Vredendal,ZA,2022-05-06 22:23:32,-31.6683,18.5012,54.91,93,14,7.76,few clouds
209,Norman Wells,CA,2022-05-06 22:23:33,65.282,-126.8329,42.84,52,100,6.91,overcast clouds
210,Saint-Philippe,RE,2022-05-06 22:22:37,-21.3585,55.7679,71.19,80,48,15.05,light rain
211,Lagos,NG,2022-05-06 22:23:34,6.5833,3.75,77.32,93,100,3.74,overcast clouds
212,Evensk,RU,2022-05-06 22:23:34,61.95,159.2333,31.17,97,100,7.0,light snow
213,Saint Anthony,US,2022-05-06 22:23:35,45.0205,-93.218,72.84,24,0,10.36,clear sky
214,Belaya Gora,RU,2022-05-06 22:23:35,68.5333,146.4167,26.83,92,97,1.41,overcast clouds
215,Severo-Kurilsk,RU,2022-05-06 22:23:36,50.6789,156.125,41.86,82,73,8.05,broken clouds
216,Qingyuan,CN,2022-05-06 22:23:36,23.7,113.0333,75.18,87,100,2.44,overcast clouds
